                                                      File1	                                                      File2	  Time1_JS	  Time2_JS	      Lon1	      Lat1	      Lon2	      Lat2	  U_vel_ms	  V_vel_ms	Speed_kmdy	  Bear_deg	 Maxcorr1	 Maxcorr2	 img1_mean	  img1_std	 img2_mean	  img2_std	img1s_mean	 img1s_std	 Per_Valid
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.39438	73.52827	-142.19759	73.49225	0.07124	-0.04577	7.31592	122.71803	0.22919	0.31603	0.0166427	0.00853	0.0122648	0.0108341	0.015996	0.0081622	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.50882	72.30814	-141.38231	72.27663	0.04906	-0.04009	5.47421	129.25273	0.47131	0.5136	0.0224788	0.0122692	0.0217907	0.0149614	0.0226375	0.0120318	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.55098	72.42071	-141.41042	72.38919	0.05418	-0.04009	5.82312	126.4982	0.63073	0.72711	0.0225919	0.0113842	0.0270107	0.0122623	0.023576	0.0113878	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.59315	72.53326	-141.45259	72.50175	0.05383	-0.04009	5.79908	126.67178	0.62425	0.73163	0.022002	0.0107195	0.0250846	0.011029	0.0218114	0.0105701	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.63533	72.64582	-141.49477	72.6143	0.0535	-0.04009	5.77612	126.84157	0.64451	0.72209	0.0208347	0.010106	0.0246825	0.0106402	0.0212982	0.0102331	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.67749	72.75838	-141.53693	72.72686	0.05318	-0.04009	5.75396	127.01176	0.63065	0.71396	0.0207133	0.0101109	0.0239284	0.0105511	0.0204179	0.0100495	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.71967	72.87093	-141.56505	72.83492	0.05814	-0.04581	6.3951	128.23511	0.57139	0.67021	0.0195156	0.0099152	0.0224501	0.0101154	0.0190056	0.009503	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.76183	72.98349	-141.59315	72.94297	0.06303	-0.05153	7.03427	129.26802	0.57334	0.68614	0.0182768	0.0095115	0.02156	0.0102747	0.0183554	0.0094723	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.81805	73.09605	-141.63533	73.05553	0.06785	-0.05151	7.36015	127.20876	0.64669	0.76818	0.0191744	0.0103004	0.0217939	0.0108938	0.0188429	0.0101293	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.86023	73.2086	-141.67749	73.16808	0.06741	-0.05151	7.3301	127.38731	0.66913	0.73762	0.0188416	0.010505	0.0212314	0.0111585	0.0185986	0.0103903	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.9024	73.31666	-141.70561	73.27614	0.07214	-0.0515	7.6583	125.52135	0.63032	0.7285	0.0188721	0.0105433	0.0201349	0.0107008	0.0180079	0.0100732	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.95862	73.42921	-141.76183	73.38869	0.07167	-0.0515	7.62566	125.70004	0.55666	0.67029	0.0188181	0.0104106	0.0194991	0.0102632	0.0177825	0.009638	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.00079	73.54177	-141.78995	73.50125	0.07628	-0.05148	7.95106	124.01764	0.36812	0.54958	0.0176601	0.0096648	0.0174688	0.0097942	0.0165838	0.0088048	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.05702	73.65433	-141.84618	73.61381	0.07577	-0.05148	7.91488	124.19456	0.32263	0.45779	0.0165239	0.0088941	0.0154775	0.0100027	0.0158829	0.0080645	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.09918	73.76688	-141.91646	73.70386	0.06532	-0.08019	8.93599	140.83244	0.23683	0.46169	0.0159207	0.0084903	0.0134614	0.0101087	0.0151827	0.0075883	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.15541	73.87944	-141.97269	73.81641	0.06487	-0.08019	8.91182	141.0274	0.32156	0.47372	0.0155461	0.0080576	0.0114429	0.0100221	0.014482	0.0068733	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.12929	72.32166	-140.98872	72.29014	0.05447	-0.04009	5.84312	126.35094	0.5564	0.65821	0.0212875	0.0112199	0.0225481	0.0125159	0.021113	0.0107743	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.17146	72.43421	-141.0309	72.40269	0.05414	-0.04009	5.82013	126.51762	0.63261	0.77375	0.0210854	0.0103509	0.0257581	0.0113262	0.0224108	0.0107648	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.21362	72.54677	-141.07306	72.51525	0.0538	-0.04009	5.79682	126.6884	0.54369	0.71963	0.020676	0.0099276	0.0241346	0.0105945	0.02089	0.0101858	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.2558	72.65932	-141.10118	72.62781	0.05881	-0.04007	6.14894	124.26805	0.5351	0.66467	0.0200791	0.0096469	0.0239581	0.0102673	0.0206046	0.0099017	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.29797	72.77188	-141.14334	72.73586	0.05847	-0.04581	6.41737	128.07646	0.51131	0.65538	0.0201592	0.0098876	0.0231449	0.0102972	0.019699	0.009804	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.34013	72.88444	-141.17146	72.84392	0.06339	-0.05153	7.05797	129.10896	0.51719	0.65992	0.0189282	0.0096055	0.0217028	0.0099688	0.0184875	0.0094724	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.38231	72.99699	-141.19957	72.95647	0.06824	-0.05151	7.38734	127.04877	0.59373	0.74816	0.0180731	0.0094596	0.0217774	0.0105491	0.018708	0.0099862	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.42447	73.10505	-141.24174	73.06453	0.06781	-0.05151	7.35775	127.2229	0.66849	0.80268	0.0197529	0.0108997	0.0223688	0.0113539	0.0195667	0.0108463	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.46664	73.21761	-141.28391	73.17709	0.06737	-0.05152	7.32774	127.4032	0.61826	0.77664	0.019997	0.0114607	0.0223591	0.0118282	0.0196341	0.0112657	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.50882	73.33016	-141.31203	73.28964	0.07208	-0.0515	7.65417	125.54338	0.61803	0.78549	0.0209294	0.0117815	0.0221365	0.0120358	0.0195476	0.0112863	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.56505	73.44272	-141.36826	73.4022	0.07162	-0.0515	7.62175	125.71594	0.55304	0.73073	0.0209251	0.0117702	0.0223548	0.0121245	0.0196783	0.0111924	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.60721	73.55527	-141.39636	73.51476	0.07622	-0.05149	7.94688	124.0396	0.51994	0.69205	0.0193358	0.0110274	0.0201855	0.011072	0.0178618	0.0102747	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.64938	73.66783	-141.42447	73.62281	0.08079	-0.0572	8.55268	125.29903	0.50601	0.63347	0.0183004	0.010653	0.0189689	0.0101685	0.0168473	0.0092927	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.69154	73.7804	-141.46664	73.73537	0.08024	-0.05721	8.51466	125.48659	0.48161	0.60407	0.0178016	0.010318	0.0185859	0.0099854	0.0169749	0.0091799	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.74777	73.89295	-141.49477	73.84342	0.08969	-0.06291	9.46499	125.04576	0.32083	0.52697	0.0176486	0.0100351	0.0167048	0.0095005	0.015801	0.0082731	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.78995	74.00551	-141.53693	73.95598	0.08909	-0.06291	9.42264	125.22655	0.27547	0.52301	0.0162878	0.0088128	0.0150673	0.0094166	0.015224	0.007586	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.84618	74.11806	-141.60721	74.06403	0.0836	-0.06866	9.34687	129.39859	0.23668	0.49265	0.0161161	0.0082607	0.0128419	0.0094507	0.0144971	0.0068979	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.7357	72.2226	-140.59514	72.19109	0.05478	-0.04009	5.86478	126.19531	0.27021	0.30145	0.0246582	0.0126066	0.0205767	0.0155804	0.0240083	0.012582	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.76382	72.33516	-140.62326	72.30364	0.05444	-0.04009	5.84111	126.36771	0.6335	0.7814	0.0224994	0.0112184	0.0246129	0.0119722	0.0214093	0.0108678	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.80598	72.44772	-140.66542	72.4162	0.05409	-0.04009	5.81722	126.54114	0.67735	0.79212	0.0219172	0.0105718	0.0252102	0.0110101	0.0216894	0.0104952	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.84816	72.55577	-140.69354	72.52425	0.05915	-0.04007	6.17291	124.11871	0.61405	0.7549	0.0211598	0.0100288	0.0237415	0.010104	0.0205146	0.0098009	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.87627	72.66833	-140.72165	72.63681	0.05879	-0.04007	6.14726	124.28084	0.55229	0.67078	0.0204565	0.0098061	0.0239837	0.0101429	0.020704	0.0098544	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.91844	72.78088	-140.74976	72.74937	0.06374	-0.04006	6.50458	122.14987	0.55422	0.69921	0.021626	0.0108544	0.0240628	0.0112636	0.0209113	0.010778	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-140.96062	72.89344	-140.79193	72.85292	0.06336	-0.05153	7.05644	129.11908	0.51123	0.71396	0.0215339	0.0113925	0.0231373	0.0115236	0.0202001	0.0110978	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.00278	73.006	-140.82004	72.96098	0.06822	-0.05725	7.6946	130.00429	0.49852	0.76238	0.021725	0.0122513	0.0232779	0.0117003	0.0205049	0.0113837	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.04495	73.11856	-140.86221	73.07353	0.06779	-0.05726	7.66667	130.1889	0.57389	0.80544	0.0223017	0.0127347	0.0231455	0.0118806	0.0203481	0.0116337	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.08711	73.23112	-140.89034	73.18609	0.07251	-0.05724	7.98154	128.28815	0.58353	0.77296	0.0211424	0.0124395	0.0235705	0.0121364	0.0209091	0.011834	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.12929	73.34367	-140.9325	73.29865	0.07205	-0.05725	7.9507	128.4707	0.56059	0.76039	0.0225375	0.0127179	0.0242165	0.0124053	0.0217105	0.0120071	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.17146	73.45623	-140.96062	73.41121	0.07669	-0.05722	8.26682	126.72725	0.58565	0.74295	0.0225356	0.0125106	0.0241398	0.0126278	0.0214924	0.0119807	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.21362	73.56879	-141.00278	73.52377	0.07618	-0.05722	8.23177	126.90953	0.55357	0.73409	0.0211841	0.0121164	0.0218923	0.0123426	0.0193902	0.0114794	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.2558	73.68134	-141.0309	73.63182	0.08074	-0.06293	8.84485	127.935	0.56061	0.71008	0.0196431	0.0118	0.0208761	0.0119162	0.0183069	0.0108071	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.29797	73.7939	-141.05901	73.74438	0.08522	-0.06291	9.15208	126.43748	0.59897	0.69819	0.0188672	0.0111147	0.0206186	0.0116281	0.0182978	0.0104432	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.34013	73.90646	-141.08711	73.85693	0.08962	-0.0629	9.45994	125.06165	0.54726	0.71026	0.0183844	0.0106206	0.0186327	0.0105151	0.0165444	0.0095964	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.38231	74.01901	-141.12929	73.96499	0.08904	-0.06863	9.7134	127.62354	0.57722	0.66489	0.0168486	0.0094694	0.0183633	0.0096135	0.0165594	0.0088483	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.43854	74.13157	-141.18552	74.07755	0.08843	-0.06864	9.6717	127.81697	0.50012	0.63072	0.0171135	0.0089765	0.0174905	0.0089373	0.0158967	0.0081416	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.4807	74.24413	-141.22769	74.1856	0.08784	-0.07437	9.94402	130.25209	0.24983	0.42848	0.016197	0.0080301	0.0158779	0.0076264	0.0149436	0.0066228	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.52287	74.35668	-141.28391	74.28465	0.08246	-0.0916	10.64902	138.0052	0.21894	0.42492	0.0154667	0.0067622	0.015099	0.0078587	0.0153798	0.0059971	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.5791	74.46924	-141.32608	74.41071	0.08662	-0.07437	9.86439	130.64772	0.25346	0.46704	0.0159961	0.0066246	0.0133218	0.0085266	0.0151328	0.0057033	99.034
